country;year;sex;age;suicides_no;population;;;;;
Albania;2006;female;75+ years;0,00;56011;;;;;
Albania;2006;male;15-24 years;0,00;286679;;;;;
Albania;2006;male;25-34 years;0,00;174092;;;;;
Albania;2006;male;35-54 years;0,00;379076;;;;;
Albania;2006;male;5-14 years;0,00;282678;;;;;
Albania;2006;male;55-74 years;0,00;219360;;;;;
Albania;2006;male;75+ years;0,00;40782;;;;;
Albania;2007;male;75+ years;8,00;42366;;;;;
Albania;2007;male;35-54 years;29,00;378626;;;;;
Albania;2007;male;55-74 years;14,00;224160;;;;;
Albania;2007;female;75+ years;3,00;57404;;;;;
Albania;2007;male;25-34 years;9,00;172494;;;;;
Albania;2007;female;15-24 years;13,00;281080;;;;;
Albania;2007;male;15-24 years;13,00;288349;;;;;
Albania;2007;female;25-34 years;8,00;183629;;;;;
Albania;2007;female;55-74 years;9,00;221120;;;;;
Albania;2007;female;35-54 years;14,00;391811;;;;;
Albania;2007;male;5-14 years;4,00;272497;;;;;
Albania;2007;female;5-14 years;0,00;256808;;;;;
Albania;2008;male;25-34 years;21,00;172855;;;;;
Albania;2008;male;35-54 years;37,00;377119;;;;;
Albania;2008;male;55-74 years;21,00;228672;;;;;
Albania;2008;female;75+ years;5,00;59369;;;;;
Albania;2008;female;15-24 years;20,00;276073;;;;;
Albania;2008;female;25-34 years;9,00;182663;;;;;
Albania;2008;female;35-54 years;19,00;393832;;;;;
Albania;2008;male;75+ years;2,00;44574;;;;;
Albania;2008;male;15-24 years;11,00;286702;;;;;
Albania;2008;female;55-74 years;7,00;226448;;;;;
Albania;2008;male;5-14 years;7,00;262464;;;;;
Albania;2008;female;5-14 years;1,00;246288;;;;;
Albania;2009;female;15-24 years;0,00;270003;;;;;
Albania;2009;female;25-34 years;0,00;182712;;;;;
Albania;2009;female;35-54 years;0,00;394286;;;;;
Albania;2009;female;5-14 years;0,00;236174;;;;;
Albania;2009;female;55-74 years;0,00;233302;;;;;
Albania;2009;female;75+ years;0,00;61582;;;;;
Albania;2009;male;15-24 years;0,00;283448;;;;;
Albania;2009;male;25-34 years;0,00;174955;;;;;
Albania;2009;male;35-54 years;0,00;374365;;;;;
Albania;2009;male;5-14 years;0,00;253007;;;;;
Albania;2009;male;55-74 years;0,00;234570;;;;;
Albania;2009;male;75+ years;0,00;47331;;;;;
Albania;2010;male;55-74 years;20,00;241852;;;;;
Albania;2010;male;35-54 years;20,00;371611;;;;;
Albania;2010;male;25-34 years;9,00;179720;;;;;
Albania;2010;male;75+ years;2,00;50767;;;;;
Albania;2010;male;15-24 years;10,00;279508;;;;;
Albania;2010;female;25-34 years;6,00;183579;;;;;
Albania;2010;female;75+ years;2,00;64415;;;;;
Albania;2010;female;35-54 years;12,00;394593;;;;;
Albania;2010;female;55-74 years;7,00;241491;;;;;
Albania;2010;female;15-24 years;6,00;263581;;;;;
Albania;2010;female;5-14 years;2,00;223969;;;;;
Albania;2010;male;5-14 years;0,00;240939;;;;;
Antigua and Barbuda;1985;female;15-24 years;0,00;7709;;;;;
Antigua and Barbuda;1985;female;25-34 years;0,00;6344;;;;;
Antigua and Barbuda;1985;female;35-54 years;0,00;6173;;;;;
Antigua and Barbuda;1985;female;5-14 years;0,00;7339;;;;;
Antigua and Barbuda;1985;female;55-74 years;0,00;3778;;;;;
Antigua and Barbuda;1985;female;75+ years;0,00;949;;;;;
Antigua and Barbuda;1985;male;15-24 years;0,00;7667;;;;;
Antigua and Barbuda;1985;male;25-34 years;0,00;6194;;;;;
Antigua and Barbuda;1985;male;35-54 years;0,00;5970;;;;;
Antigua and Barbuda;1985;male;5-14 years;0,00;7304;;;;;
Antigua and Barbuda;1985;male;55-74 years;0,00;2723;;;;;
Antigua and Barbuda;1985;male;75+ years;0,00;424;;;;;
Antigua and Barbuda;1986;female;15-24 years;0,00;7668;;;;;
Antigua and Barbuda;1986;female;25-34 years;0,00;6209;;;;;
Antigua and Barbuda;1986;female;35-54 years;0,00;6101;;;;;
Antigua and Barbuda;1986;female;5-14 years;0,00;6907;;;;;
Antigua and Barbuda;1986;female;55-74 years;0,00;3764;;;;;
Antigua and Barbuda;1986;female;75+ years;0,00;1014;;;;;
Antigua and Barbuda;1986;male;15-24 years;0,00;7563;;;;;
Antigua and Barbuda;1986;male;25-34 years;0,00;6023;;;;;
Antigua and Barbuda;1986;male;35-54 years;0,00;5947;;;;;
Antigua and Barbuda;1986;male;5-14 years;0,00;6827;;;;;
Antigua and Barbuda;1986;male;55-74 years;0,00;2771;;;;;
Antigua and Barbuda;1986;male;75+ years;0,00;476;;;;;
Antigua and Barbuda;1987;female;15-24 years;0,00;7583;;;;;
Antigua and Barbuda;1987;female;25-34 years;0,00;6101;;;;;
Antigua and Barbuda;1987;female;35-54 years;0,00;6059;;;;;
Antigua and Barbuda;1987;female;5-14 years;0,00;6623;;;;;
Antigua and Barbuda;1987;female;55-74 years;0,00;3738;;;;;
Antigua and Barbuda;1987;female;75+ years;0,00;1081;;;;;
Antigua and Barbuda;1987;male;15-24 years;0,00;7421;;;;;
Antigua and Barbuda;1987;male;25-34 years;0,00;5893;;;;;
Antigua and Barbuda;1987;male;35-54 years;0,00;5927;;;;;
Antigua and Barbuda;1987;male;5-14 years;0,00;6499;;;;;
Antigua and Barbuda;1987;male;55-74 years;0,00;2798;;;;;
Antigua and Barbuda;1987;male;75+ years;0,00;538;;;;;
Antigua and Barbuda;1988;female;15-24 years;0,00;7413;;;;;
Antigua and Barbuda;1988;female;25-34 years;0,00;6041;;;;;
Antigua and Barbuda;1988;female;35-54 years;0,00;6021;;;;;
Antigua and Barbuda;1988;female;5-14 years;0,00;6527;;;;;
Antigua and Barbuda;1988;female;55-74 years;0,00;3708;;;;;
Antigua and Barbuda;1988;female;75+ years;0,00;1141;;;;;
Antigua and Barbuda;1988;male;15-24 years;0,00;7209;;;;;
Antigua and Barbuda;1988;male;25-34 years;0,00;5826;;;;;
Antigua and Barbuda;1988;male;35-54 years;0,00;5907;;;;;
Antigua and Barbuda;1988;male;5-14 years;0,00;6355;;;;;
Antigua and Barbuda;1988;male;55-74 years;0,00;2813;;;;;
Antigua and Barbuda;1988;male;75+ years;0,00;603;;;;;
Antigua and Barbuda;1989;female;15-24 years;0,00;7152;;;;;
Antigua and Barbuda;1989;female;25-34 years;0,00;6059;;;;;
Antigua and Barbuda;1989;female;35-54 years;0,00;5969;;;;;
Antigua and Barbuda;1989;female;5-14 years;0,00;6621;;;;;
Antigua and Barbuda;1989;female;55-74 years;0,00;3696;;;;;
Antigua and Barbuda;1989;female;75+ years;0,00;1195;;;;;
Antigua and Barbuda;1989;male;15-24 years;0,00;6927;;;;;
Antigua and Barbuda;1989;male;25-34 years;0,00;5835;;;;;
Antigua and Barbuda;1989;male;35-54 years;0,00;5862;;;;;
Antigua and Barbuda;1989;male;5-14 years;0,00;6403;;;;;
Antigua and Barbuda;1989;male;55-74 years;0,00;2843;;;;;
Antigua and Barbuda;1989;male;75+ years;0,00;676;;;;;
Antigua and Barbuda;1990;male;35-54 years;1,00;5799;;;;;
Antigua and Barbuda;1990;female;15-24 years;0,00;6827;;;;;
Antigua and Barbuda;1990;female;25-34 years;0,00;6172;;;;;
Antigua and Barbuda;1990;female;35-54 years;0,00;5895;;;;;
Antigua and Barbuda;1990;female;5-14 years;0,00;6877;;;;;
Antigua and Barbuda;1990;female;55-74 years;0,00;3706;;;;;
Antigua and Barbuda;1990;female;75+ years;0,00;1252;;;;;
Antigua and Barbuda;1990;male;15-24 years;0,00;6598;;;;;
Antigua and Barbuda;1990;male;25-34 years;0,00;5937;;;;;
Antigua and Barbuda;1990;male;5-14 years;0,00;6611;;;;;
Antigua and Barbuda;1990;male;55-74 years;0,00;2902;;;;;
Antigua and Barbuda;1990;male;75+ years;0,00;758;;;;;
Antigua and Barbuda;1991;female;15-24 years;0,00;6595;;;;;
Antigua and Barbuda;1991;female;25-34 years;0,00;6396;;;;;
Antigua and Barbuda;1991;female;35-54 years;0,00;6198;;;;;
Antigua and Barbuda;1991;female;5-14 years;0,00;7089;;;;;
Antigua and Barbuda;1991;female;55-74 years;0,00;3665;;;;;
Antigua and Barbuda;1991;female;75+ years;0,00;1293;;;;;
Antigua and Barbuda;1991;male;15-24 years;0,00;6401;;;;;
Antigua and Barbuda;1991;male;25-34 years;0,00;6156;;;;;
Antigua and Barbuda;1991;male;35-54 years;0,00;6122;;;;;
Antigua and Barbuda;1991;male;5-14 years;0,00;6818;;;;;
Antigua and Barbuda;1991;male;55-74 years;0,00;2857;;;;;
Antigua and Barbuda;1991;male;75+ years;0,00;804;;;;;
Antigua and Barbuda;1992;female;15-24 years;0,00;6369;;;;;
Antigua and Barbuda;1992;female;25-34 years;0,00;6650;;;;;
Antigua and Barbuda;1992;female;35-54 years;0,00;6534;;;;;
Antigua and Barbuda;1992;female;5-14 years;0,00;7311;;;;;
Antigua and Barbuda;1992;female;55-74 years;0,00;3648;;;;;
Antigua and Barbuda;1992;female;75+ years;0,00;1339;;;;;
Antigua and Barbuda;1992;male;15-24 years;0,00;6221;;;;;
Antigua and Barbuda;1992;male;25-34 years;0,00;6409;;;;;
Antigua and Barbuda;1992;male;35-54 years;0,00;6497;;;;;
Antigua and Barbuda;1992;male;5-14 years;0,00;7059;;;;;
Antigua and Barbuda;1992;male;55-74 years;0,00;2851;;;;;
Antigua and Barbuda;1992;male;75+ years;0,00;853;;;;;
Antigua and Barbuda;1993;male;25-34 years;1,00;6668;;;;;
Antigua and Barbuda;1993;female;15-24 years;0,00;6182;;;;;
Antigua and Barbuda;1993;female;25-34 years;0,00;6914;;;;;
Antigua and Barbuda;1993;female;35-54 years;0,00;6917;;;;;
Antigua and Barbuda;1993;female;5-14 years;0,00;7529;;;;;
Antigua and Barbuda;1993;female;55-74 years;0,00;3662;;;;;
Antigua and Barbuda;1993;female;75+ years;0,00;1386;;;;;
Antigua and Barbuda;1993;male;15-24 years;0,00;6069;;;;;
Antigua and Barbuda;1993;male;35-54 years;0,00;6915;;;;;
Antigua and Barbuda;1993;male;5-14 years;0,00;7298;;;;;
Antigua and Barbuda;1993;male;55-74 years;0,00;2879;;;;;
Antigua and Barbuda;1993;male;75+ years;0,00;896;;;;;
Antigua and Barbuda;1994;female;15-24 years;0,00;6083;;;;;
Antigua and Barbuda;1994;female;25-34 years;0,00;7151;;;;;
Antigua and Barbuda;1994;female;35-54 years;0,00;7357;;;;;
Antigua and Barbuda;1994;female;5-14 years;0,00;7722;;;;;
Antigua and Barbuda;1994;female;55-74 years;0,00;3715;;;;;
Antigua and Barbuda;1994;female;75+ years;0,00;1437;;;;;
Antigua and Barbuda;1994;male;15-24 years;0,00;5976;;;;;
Antigua and Barbuda;1994;male;25-34 years;0,00;6886;;;;;
Antigua and Barbuda;1994;male;35-54 years;0,00;7359;;;;;
Antigua and Barbuda;1994;male;5-14 years;0,00;7494;;;;;
Antigua and Barbuda;1994;male;55-74 years;0,00;2935;;;;;
Antigua and Barbuda;1994;male;75+ years;0,00;929;;;;;
Antigua and Barbuda;1995;female;15-24 years;0,00;6099;;;;;
Antigua and Barbuda;1995;female;25-34 years;0,00;7333;;;;;
Antigua and Barbuda;1995;female;35-54 years;0,00;7851;;;;;
Antigua and Barbuda;1995;female;5-14 years;0,00;7885;;;;;
Antigua and Barbuda;1995;female;55-74 years;0,00;3808;;;;;
Antigua and Barbuda;1995;female;75+ years;0,00;1488;;;;;
Antigua and Barbuda;1995;male;15-24 years;0,00;5953;;;;;
Antigua and Barbuda;1995;male;25-34 years;0,00;7023;;;;;
Antigua and Barbuda;1995;male;35-54 years;0,00;7809;;;;;
Antigua and Barbuda;1995;male;5-14 years;0,00;7632;;;;;
Antigua and Barbuda;1995;male;55-74 years;0,00;3021;;;;;
Antigua and Barbuda;1995;male;75+ years;0,00;944;;;;;
Antigua and Barbuda;1998;female;15-24 years;0,00;6529;;;;;
Antigua and Barbuda;1998;female;25-34 years;0,00;8332;;;;;
Antigua and Barbuda;1998;female;35-54 years;0,00;9615;;;;;
Antigua and Barbuda;1998;female;5-14 years;0,00;8183;;;;;
Antigua and Barbuda;1998;female;55-74 years;0,00;3921;;;;;
Antigua and Barbuda;1998;female;75+ years;0,00;1476;;;;;
Antigua and Barbuda;1998;male;15-24 years;0,00;5916;;;;;
Antigua and Barbuda;1998;male;25-34 years;0,00;7294;;;;;
Antigua and Barbuda;1998;male;35-54 years;0,00;9086;;;;;
Antigua and Barbuda;1998;male;5-14 years;0,00;7706;;;;;
Antigua and Barbuda;1998;male;55-74 years;0,00;3213;;;;;
Antigua and Barbuda;1998;male;75+ years;0,00;954;;;;;
Antigua and Barbuda;1999;female;15-24 years;0,00;6589;;;;;
Antigua and Barbuda;1999;female;25-34 years;0,00;8526;;;;;
Antigua and Barbuda;1999;female;35-54 years;0,00;10311;;;;;
Antigua and Barbuda;1999;female;5-14 years;0,00;8314;;;;;
Antigua and Barbuda;1999;female;55-74 years;0,00;3968;;;;;
Antigua and Barbuda;1999;female;75+ years;0,00;1451;;;;;
Antigua and Barbuda;1999;male;15-24 years;0,00;5845;;;;;
Antigua and Barbuda;1999;male;25-34 years;0,00;7263;;;;;
Antigua and Barbuda;1999;male;35-54 years;0,00;9537;;;;;
Antigua and Barbuda;1999;male;5-14 years;0,00;7805;;;;;
Antigua and Barbuda;1999;male;55-74 years;0,00;3276;;;;;
Antigua and Barbuda;1999;male;75+ years;0,00;947;;;;;
Antigua and Barbuda;2000;male;55-74 years;1,00;3333;;;;;
Antigua and Barbuda;2000;male;35-54 years;1,00;10033;;;;;
Antigua and Barbuda;2000;female;15-24 years;0,00;6616;;;;;
Antigua and Barbuda;2000;female;25-34 years;0,00;8595;;;;;
Antigua and Barbuda;2000;female;35-54 years;0,00;11040;;;;;
Antigua and Barbuda;2000;female;5-14 years;0,00;8439;;;;;
Antigua and Barbuda;2000;female;55-74 years;0,00;3986;;;;;
Antigua and Barbuda;2000;female;75+ years;0,00;1413;;;;;
Antigua and Barbuda;2000;male;15-24 years;0,00;5783;;;;;
Antigua and Barbuda;2000;male;25-34 years;0,00;7177;;;;;
Antigua and Barbuda;2000;male;5-14 years;0,00;7973;;;;;
Antigua and Barbuda;2000;male;75+ years;0,00;938;;;;;
Antigua and Barbuda;2001;male;35-54 years;2,00;10281;;;;;
Antigua and Barbuda;2001;female;15-24 years;0,00;6902;;;;;
Antigua and Barbuda;2001;female;25-34 years;0,00;8425;;;;;
Antigua and Barbuda;2001;female;35-54 years;0,00;11402;;;;;
Antigua and Barbuda;2001;female;5-14 years;0,00;8428;;;;;
Antigua and Barbuda;2001;female;55-74 years;0,00;4037;;;;;
Antigua and Barbuda;2001;female;75+ years;0,00;1487;;;;;
Antigua and Barbuda;2001;male;15-24 years;0,00;6084;;;;;
Antigua and Barbuda;2001;male;25-34 years;0,00;7071;;;;;
Antigua and Barbuda;2001;male;5-14 years;0,00;7958;;;;;
Antigua and Barbuda;2001;male;55-74 years;0,00;3442;;;;;
Antigua and Barbuda;2001;male;75+ years;0,00;980;;;;;
Antigua and Barbuda;2002;female;15-24 years;0,00;7196;;;;;
Antigua and Barbuda;2002;female;25-34 years;0,00;8155;;;;;
Antigua and Barbuda;2002;female;35-54 years;0,00;11760;;;;;
Antigua and Barbuda;2002;female;5-14 years;0,00;8408;;;;;
Antigua and Barbuda;2002;female;55-74 years;0,00;4050;;;;;
Antigua and Barbuda;2002;female;75+ years;0,00;1547;;;;;
Antigua and Barbuda;2002;male;15-24 years;0,00;6416;;;;;
Antigua and Barbuda;2002;male;25-34 years;0,00;6921;;;;;
Antigua and Barbuda;2002;male;35-54 years;0,00;10604;;;;;
Antigua and Barbuda;2002;male;5-14 years;0,00;7980;;;;;
Antigua and Barbuda;2002;male;55-74 years;0,00;3527;;;;;
Antigua and Barbuda;2002;male;75+ years;0,00;1024;;;;;
Antigua and Barbuda;2003;male;55-74 years;1,00;3594;;;;;
Antigua and Barbuda;2003;female;15-24 years;0,00;7454;;;;;
Antigua and Barbuda;2003;female;25-34 years;0,00;7831;;;;;
Antigua and Barbuda;2003;female;35-54 years;0,00;12129;;;;;
Antigua and Barbuda;2003;female;5-14 years;0,00;8423;;;;;
Antigua and Barbuda;2003;female;55-74 years;0,00;4054;;;;;
Antigua and Barbuda;2003;female;75+ years;0,00;1583;;;;;
Antigua and Barbuda;2003;male;15-24 years;0,00;6730;;;;;
Antigua and Barbuda;2003;male;25-34 years;0,00;6734;;;;;
Antigua and Barbuda;2003;male;35-54 years;0,00;10997;;;;;
Antigua and Barbuda;2003;male;5-14 years;0,00;8061;;;;;
