country;year;sex;age;;;
Albania;1998;male;75+ years;2,359,903,108;793;Silent
Albania;1998;male;15-24 years;2,707,123,772;899;G.I. Generation
Albania;1998;female;15-24 years;2,707,123,772;899;Generation X
Albania;1998;male;25-34 years;2,707,123,772;899;Generation X
Albania;1998;male;35-54 years;2,707,123,772;899;Generation X
Albania;1998;male;55-74 years;2,707,123,772;899;Boomers
Albania;1998;female;25-34 years;2,707,123,772;899;Silent
Albania;1998;female;55-74 years;2,707,123,772;899;Generation X
Albania;1998;female;35-54 years;2,707,123,772;899;Silent
Albania;1998;male;5-14 years;2,707,123,772;899;Boomers
Albania;1998;female;5-14 years;2,707,123,772;899;Millenials
Albania;1998;female;75+ years;2,707,123,772;899;Millenials
Albania;1999;male;75+ years;2,707,123,772;899;G.I. Generation
Albania;1999;male;15-24 years;3,414,760,915;1127;G.I. Generation
Albania;1999;female;75+ years;3,414,760,915;1127;Generation X
Albania;1999;male;35-54 years;3,414,760,915;1127;G.I. Generation
Albania;1999;male;25-34 years;3,414,760,915;1127;Boomers
Albania;1999;male;55-74 years;3,414,760,915;1127;Generation X
Albania;1999;female;15-24 years;3,414,760,915;1127;Silent
Albania;1999;female;25-34 years;3,414,760,915;1127;Generation X
Albania;1999;female;55-74 years;3,414,760,915;1127;Generation X
Albania;1999;female;35-54 years;3,414,760,915;1127;Silent
Albania;1999;female;5-14 years;3,414,760,915;1127;Boomers
Albania;1999;male;5-14 years;3,414,760,915;1127;Millenials
Albania;2000;male;25-34 years;3,414,760,915;1127;Millenials
Albania;2000;male;55-74 years;3,632,043,908;1299;Generation X
Albania;2000;female;75+ years;3,632,043,908;1299;Silent
Albania;2000;male;75+ years;3,632,043,908;1299;G.I. Generation
Albania;2000;female;15-24 years;3,632,043,908;1299;G.I. Generation
Albania;2000;male;15-24 years;3,632,043,908;1299;Generation X
Albania;2000;female;35-54 years;3,632,043,908;1299;Generation X
Albania;2000;female;25-34 years;3,632,043,908;1299;Boomers
Albania;2000;male;35-54 years;3,632,043,908;1299;Generation X
Albania;2000;male;5-14 years;3,632,043,908;1299;Boomers
Albania;2000;female;5-14 years;3,632,043,908;1299;Millenials
Albania;2000;female;55-74 years;3,632,043,908;1299;Millenials
Albania;2001;male;25-34 years;3,632,043,908;1299;Silent
Albania;2001;male;35-54 years;4,060,758,804;1451;Generation X
Albania;2001;male;55-74 years;4,060,758,804;1451;Boomers
Albania;2001;female;75+ years;4,060,758,804;1451;Silent
Albania;2001;male;15-24 years;4,060,758,804;1451;Silent
Albania;2001;female;15-24 years;4,060,758,804;1451;Millenials
Albania;2001;female;35-54 years;4,060,758,804;1451;Millenials
Albania;2001;male;75+ years;4,060,758,804;1451;Boomers
Albania;2001;female;55-74 years;4,060,758,804;1451;Silent
Albania;2001;male;5-14 years;4,060,758,804;1451;Silent
Albania;2001;female;25-34 years;4,060,758,804;1451;Millenials
Albania;2001;female;5-14 years;4,060,758,804;1451;Generation X
Albania;2002;male;75+ years;4,060,758,804;1451;Millenials
Albania;2002;male;25-34 years;4,435,078,648;1573;Silent
Albania;2002;male;35-54 years;4,435,078,648;1573;Generation X
Albania;2002;male;55-74 years;4,435,078,648;1573;Boomers
Albania;2002;male;15-24 years;4,435,078,648;1573;Silent
Albania;2002;female;15-24 years;4,435,078,648;1573;Millenials
Albania;2002;female;35-54 years;4,435,078,648;1573;Millenials
Albania;2002;female;25-34 years;4,435,078,648;1573;Boomers
Albania;2002;female;75+ years;4,435,078,648;1573;Generation X
Albania;2002;female;55-74 years;4,435,078,648;1573;Silent
Albania;2002;female;5-14 years;4,435,078,648;1573;Silent
Albania;2002;male;5-14 years;4,435,078,648;1573;Millenials
Albania;2003;female;75+ years;4,435,078,648;1573;Millenials
Albania;2003;male;55-74 years;5,746,945,913;2021;Silent
Albania;2003;male;35-54 years;5,746,945,913;2021;Silent
Albania;2003;male;15-24 years;5,746,945,913;2021;Boomers
Albania;2003;female;15-24 years;5,746,945,913;2021;Millenials
Albania;2003;female;55-74 years;5,746,945,913;2021;Millenials
Albania;2003;male;25-34 years;5,746,945,913;2021;Silent
Albania;2003;female;25-34 years;5,746,945,913;2021;Generation X
Albania;2003;female;35-54 years;5,746,945,913;2021;Generation X
Albania;2003;male;75+ years;5,746,945,913;2021;Boomers
Albania;2003;male;5-14 years;5,746,945,913;2021;Silent
Albania;2003;female;5-14 years;5,746,945,913;2021;Millenials
Albania;2004;male;75+ years;5,746,945,913;2021;Millenials
Albania;2004;male;35-54 years;7,314,865,176;2544;Silent
Albania;2004;male;25-34 years;7,314,865,176;2544;Boomers
Albania;2004;female;15-24 years;7,314,865,176;2544;Generation X
Albania;2004;male;15-24 years;7,314,865,176;2544;Millenials
Albania;2004;female;75+ years;7,314,865,176;2544;Millenials
Albania;2004;female;25-34 years;7,314,865,176;2544;Silent
Albania;2004;male;55-74 years;7,314,865,176;2544;Generation X
Albania;2004;female;35-54 years;7,314,865,176;2544;Silent
Albania;2004;female;55-74 years;7,314,865,176;2544;Boomers
Albania;2004;female;5-14 years;7,314,865,176;2544;Silent
Albania;2004;male;5-14 years;7,314,865,176;2544;Millenials
Albania;2005;female;15-24 years;7,314,865,176;2544;Millenials
Albania;2005;female;25-34 years;8,158,548,717;2931;Millenials
Albania;2005;female;35-54 years;8,158,548,717;2931;Generation X
Albania;2005;female;5-14 years;8,158,548,717;2931;Boomers
Albania;2005;female;55-74 years;8,158,548,717;2931;Millenials
Albania;2005;female;75+ years;8,158,548,717;2931;Silent
Albania;2005;male;15-24 years;8,158,548,717;2931;Silent
Albania;2005;male;25-34 years;8,158,548,717;2931;Millenials
Albania;2005;male;35-54 years;8,158,548,717;2931;Generation X
Albania;2005;male;5-14 years;8,158,548,717;2931;Boomers
Albania;2005;male;55-74 years;8,158,548,717;2931;Millenials
Albania;2005;male;75+ years;8,158,548,717;2931;Silent
Albania;2006;female;15-24 years;8,158,548,717;2931;Silent
Albania;2006;female;25-34 years;8,992,642,349;3235;Millenials
Albania;2006;female;35-54 years;8,992,642,349;3235;Generation X
Albania;2006;female;5-14 years;8,992,642,349;3235;Boomers
Albania;2006;female;55-74 years;8,992,642,349;3235;Millenials
Albania;2006;female;75+ years;8,992,642,349;3235;Silent
Albania;2006;male;15-24 years;8,992,642,349;3235;Silent
Albania;2006;male;25-34 years;8,992,642,349;3235;Millenials
Albania;2006;male;35-54 years;8,992,642,349;3235;Generation X
Albania;2006;male;5-14 years;8,992,642,349;3235;Boomers
Albania;2006;male;55-74 years;8,992,642,349;3235;Millenials
Albania;2006;male;75+ years;8,992,642,349;3235;Silent
Albania;2007;male;75+ years;8,992,642,349;3235;Silent
Albania;2007;male;35-54 years;10,701,011,897;3863;Silent
Albania;2007;male;55-74 years;10,701,011,897;3863;Boomers
Albania;2007;female;75+ years;10,701,011,897;3863;Silent
Albania;2007;male;25-34 years;10,701,011,897;3863;Silent
Albania;2007;female;15-24 years;10,701,011,897;3863;Generation X
Albania;2007;male;15-24 years;10,701,011,897;3863;Millenials
Albania;2007;female;25-34 years;10,701,011,897;3863;Millenials
Albania;2007;female;55-74 years;10,701,011,897;3863;Generation X
Albania;2007;female;35-54 years;10,701,011,897;3863;Silent
Albania;2007;male;5-14 years;10,701,011,897;3863;Boomers
Albania;2007;female;5-14 years;10,701,011,897;3863;Generation Z
Albania;2008;male;25-34 years;10,701,011,897;3863;Generation Z
Albania;2008;male;35-54 years;12,881,352,688;4672;Generation X
Albania;2008;male;55-74 years;12,881,352,688;4672;Boomers
Albania;2008;female;75+ years;12,881,352,688;4672;Silent
Albania;2008;female;15-24 years;12,881,352,688;4672;Silent
Albania;2008;female;25-34 years;12,881,352,688;4672;Millenials
Albania;2008;female;35-54 years;12,881,352,688;4672;Generation X
Albania;2008;male;75+ years;12,881,352,688;4672;Boomers
Albania;2008;male;15-24 years;12,881,352,688;4672;Silent
Albania;2008;female;55-74 years;12,881,352,688;4672;Millenials
Albania;2008;male;5-14 years;12,881,352,688;4672;Silent
Albania;2008;female;5-14 years;12,881,352,688;4672;Generation Z
Albania;2009;female;15-24 years;12,881,352,688;4672;Generation Z
Albania;2009;female;25-34 years;12,044,212,904;4387;Millenials
Albania;2009;female;35-54 years;12,044,212,904;4387;Generation X
Albania;2009;female;5-14 years;12,044,212,904;4387;Boomers
Albania;2009;female;55-74 years;12,044,212,904;4387;Generation Z
Albania;2009;female;75+ years;12,044,212,904;4387;Silent
Albania;2009;male;15-24 years;12,044,212,904;4387;Silent
Albania;2009;male;25-34 years;12,044,212,904;4387;Millenials
Albania;2009;male;35-54 years;12,044,212,904;4387;Generation X
Albania;2009;male;5-14 years;12,044,212,904;4387;Boomers
Albania;2009;male;55-74 years;12,044,212,904;4387;Generation Z
Albania;2009;male;75+ years;12,044,212,904;4387;Silent
Albania;2010;male;55-74 years;12,044,212,904;4387;Silent
Albania;2010;male;35-54 years;11,926,953,259;4359;Silent
Albania;2010;male;25-34 years;11,926,953,259;4359;Generation X
Albania;2010;male;75+ years;11,926,953,259;4359;Generation X
Albania;2010;male;15-24 years;11,926,953,259;4359;Silent
Albania;2010;female;25-34 years;11,926,953,259;4359;Millenials
Albania;2010;female;75+ years;11,926,953,259;4359;Generation X
Albania;2010;female;35-54 years;11,926,953,259;4359;Silent
Albania;2010;female;55-74 years;11,926,953,259;4359;Generation X
Albania;2010;female;15-24 years;11,926,953,259;4359;Silent
Albania;2010;female;5-14 years;11,926,953,259;4359;Millenials
Albania;2010;male;5-14 years;11,926,953,259;4359;Generation Z
Antigua and Barbuda;1985;female;15-24 years;11,926,953,259;4359;Generation Z
Antigua and Barbuda;1985;female;25-34 years;240,923,926;3850;Generation X
Antigua and Barbuda;1985;female;35-54 years;240,923,926;3850;Boomers
Antigua and Barbuda;1985;female;5-14 years;240,923,926;3850;Silent
Antigua and Barbuda;1985;female;55-74 years;240,923,926;3850;Generation X
Antigua and Barbuda;1985;female;75+ years;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1985;male;15-24 years;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1985;male;25-34 years;240,923,926;3850;Generation X
Antigua and Barbuda;1985;male;35-54 years;240,923,926;3850;Boomers
Antigua and Barbuda;1985;male;5-14 years;240,923,926;3850;Silent
Antigua and Barbuda;1985;male;55-74 years;240,923,926;3850;Generation X
Antigua and Barbuda;1985;male;75+ years;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1986;female;15-24 years;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1986;female;25-34 years;290,440,148;4740;Generation X
Antigua and Barbuda;1986;female;35-54 years;290,440,148;4740;Boomers
Antigua and Barbuda;1986;female;5-14 years;290,440,148;4740;Silent
Antigua and Barbuda;1986;female;55-74 years;290,440,148;4740;Generation X
Antigua and Barbuda;1986;female;75+ years;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1986;male;15-24 years;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1986;male;25-34 years;290,440,148;4740;Generation X
Antigua and Barbuda;1986;male;35-54 years;290,440,148;4740;Boomers
Antigua and Barbuda;1986;male;5-14 years;290,440,148;4740;Silent
Antigua and Barbuda;1986;male;55-74 years;290,440,148;4740;Generation X
Antigua and Barbuda;1986;male;75+ years;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1987;female;15-24 years;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1987;female;25-34 years;337,174,852;5595;Generation X
Antigua and Barbuda;1987;female;35-54 years;337,174,852;5595;Boomers
Antigua and Barbuda;1987;female;5-14 years;337,174,852;5595;Silent
Antigua and Barbuda;1987;female;55-74 years;337,174,852;5595;Generation X
Antigua and Barbuda;1987;female;75+ years;337,174,852;5595;G.I. Generation
Antigua and Barbuda;1987;male;15-24 years;337,174,852;5595;G.I. Generation
Antigua and Barbuda;1987;male;25-34 years;337,174,852;5595;Generation X
Antigua and Barbuda;1987;male;35-54 years;337,174,852;5595;Boomers
Antigua and Barbuda;1987;male;5-14 years;337,174,852;5595;Silent
Antigua and Barbuda;1987;male;55-74 years;337,174,852;5595;Generation X
Antigua and Barbuda;1987;male;75+ years;337,174,852;5595;G.I. Generation
Antigua and Barbuda;1988;female;15-24 years;337,174,852;5595;G.I. Generation
Antigua and Barbuda;1988;female;25-34 years;398,637,741;6693;Generation X
Antigua and Barbuda;1988;female;35-54 years;398,637,741;6693;Boomers
Antigua and Barbuda;1988;female;5-14 years;398,637,741;6693;Silent
Antigua and Barbuda;1988;female;55-74 years;398,637,741;6693;Generation X
Antigua and Barbuda;1988;female;75+ years;398,637,741;6693;G.I. Generation
Antigua and Barbuda;1988;male;15-24 years;398,637,741;6693;G.I. Generation
Antigua and Barbuda;1988;male;25-34 years;398,637,741;6693;Generation X
Antigua and Barbuda;1988;male;35-54 years;398,637,741;6693;Boomers
Antigua and Barbuda;1988;male;5-14 years;398,637,741;6693;Silent
Antigua and Barbuda;1988;male;55-74 years;398,637,741;6693;Generation X
Antigua and Barbuda;1988;male;75+ years;398,637,741;6693;G.I. Generation
Antigua and Barbuda;1989;female;15-24 years;398,637,741;6693;G.I. Generation
Antigua and Barbuda;1989;female;25-34 years;438,794,778;7407;Generation X
Antigua and Barbuda;1989;female;35-54 years;438,794,778;7407;Boomers
Antigua and Barbuda;1989;female;5-14 years;438,794,778;7407;Silent
Antigua and Barbuda;1989;female;55-74 years;438,794,778;7407;Generation X
Antigua and Barbuda;1989;female;75+ years;438,794,778;7407;G.I. Generation
Antigua and Barbuda;1989;male;15-24 years;438,794,778;7407;G.I. Generation
Antigua and Barbuda;1989;male;25-34 years;438,794,778;7407;Generation X
Antigua and Barbuda;1989;male;35-54 years;438,794,778;7407;Boomers
Antigua and Barbuda;1989;male;5-14 years;438,794,778;7407;Silent
Antigua and Barbuda;1989;male;55-74 years;438,794,778;7407;Generation X
Antigua and Barbuda;1989;male;75+ years;438,794,778;7407;G.I. Generation
Antigua and Barbuda;1990;male;35-54 years;438,794,778;7407;G.I. Generation
Antigua and Barbuda;1990;female;15-24 years;459,469,074;7744;Silent
Antigua and Barbuda;1990;female;25-34 years;459,469,074;7744;Generation X
Antigua and Barbuda;1990;female;35-54 years;459,469,074;7744;Boomers
Antigua and Barbuda;1990;female;5-14 years;459,469,074;7744;Silent
Antigua and Barbuda;1990;female;55-74 years;459,469,074;7744;Generation X
Antigua and Barbuda;1990;female;75+ years;459,469,074;7744;G.I. Generation
Antigua and Barbuda;1990;male;15-24 years;459,469,074;7744;G.I. Generation
Antigua and Barbuda;1990;male;25-34 years;459,469,074;7744;Generation X
Antigua and Barbuda;1990;male;5-14 years;459,469,074;7744;Boomers
Antigua and Barbuda;1990;male;55-74 years;459,469,074;7744;Generation X
Antigua and Barbuda;1990;male;75+ years;459,469,074;7744;G.I. Generation
Antigua and Barbuda;1991;female;15-24 years;459,469,074;7744;G.I. Generation
Antigua and Barbuda;1991;female;25-34 years;481,706,333;7976;Generation X
Antigua and Barbuda;1991;female;35-54 years;481,706,333;7976;Boomers
Antigua and Barbuda;1991;female;5-14 years;481,706,333;7976;Boomers
Antigua and Barbuda;1991;female;55-74 years;481,706,333;7976;Millenials
Antigua and Barbuda;1991;female;75+ years;481,706,333;7976;Silent
Antigua and Barbuda;1991;male;15-24 years;481,706,333;7976;G.I. Generation
Antigua and Barbuda;1991;male;25-34 years;481,706,333;7976;Generation X
Antigua and Barbuda;1991;male;35-54 years;481,706,333;7976;Boomers
Antigua and Barbuda;1991;male;5-14 years;481,706,333;7976;Boomers
Antigua and Barbuda;1991;male;55-74 years;481,706,333;7976;Millenials
Antigua and Barbuda;1991;male;75+ years;481,706,333;7976;Silent
Antigua and Barbuda;1992;female;15-24 years;481,706,333;7976;G.I. Generation
Antigua and Barbuda;1992;female;25-34 years;499,281,148;8087;Generation X
Antigua and Barbuda;1992;female;35-54 years;499,281,148;8087;Boomers
Antigua and Barbuda;1992;female;5-14 years;499,281,148;8087;Boomers
Antigua and Barbuda;1992;female;55-74 years;499,281,148;8087;Millenials
Antigua and Barbuda;1992;female;75+ years;499,281,148;8087;Silent
Antigua and Barbuda;1992;male;15-24 years;499,281,148;8087;G.I. Generation
Antigua and Barbuda;1992;male;25-34 years;499,281,148;8087;Generation X
Antigua and Barbuda;1992;male;35-54 years;499,281,148;8087;Boomers
Antigua and Barbuda;1992;male;5-14 years;499,281,148;8087;Boomers
Antigua and Barbuda;1992;male;55-74 years;499,281,148;8087;Millenials
Antigua and Barbuda;1992;male;75+ years;499,281,148;8087;Silent
Antigua and Barbuda;1993;male;25-34 years;499,281,148;8087;G.I. Generation
Antigua and Barbuda;1993;female;15-24 years;535,172,778;8453;Boomers
Antigua and Barbuda;1993;female;25-34 years;535,172,778;8453;Generation X
Antigua and Barbuda;1993;female;35-54 years;535,172,778;8453;Boomers
Antigua and Barbuda;1993;female;5-14 years;535,172,778;8453;Boomers
Antigua and Barbuda;1993;female;55-74 years;535,172,778;8453;Millenials
Antigua and Barbuda;1993;female;75+ years;535,172,778;8453;Silent
Antigua and Barbuda;1993;male;15-24 years;535,172,778;8453;G.I. Generation
Antigua and Barbuda;1993;male;35-54 years;535,172,778;8453;Generation X
Antigua and Barbuda;1993;male;5-14 years;535,172,778;8453;Boomers
Antigua and Barbuda;1993;male;55-74 years;535,172,778;8453;Millenials
Antigua and Barbuda;1993;male;75+ years;535,172,778;8453;Silent
Antigua and Barbuda;1994;female;15-24 years;535,172,778;8453;G.I. Generation
Antigua and Barbuda;1994;female;25-34 years;589,429,593;9062;Generation X
Antigua and Barbuda;1994;female;35-54 years;589,429,593;9062;Boomers
Antigua and Barbuda;1994;female;5-14 years;589,429,593;9062;Boomers
Antigua and Barbuda;1994;female;55-74 years;589,429,593;9062;Millenials
Antigua and Barbuda;1994;female;75+ years;589,429,593;9062;Silent
Antigua and Barbuda;1994;male;15-24 years;589,429,593;9062;G.I. Generation
Antigua and Barbuda;1994;male;25-34 years;589,429,593;9062;Generation X
Antigua and Barbuda;1994;male;35-54 years;589,429,593;9062;Boomers
Antigua and Barbuda;1994;male;5-14 years;589,429,593;9062;Boomers
Antigua and Barbuda;1994;male;55-74 years;589,429,593;9062;Millenials
Antigua and Barbuda;1994;male;75+ years;589,429,593;9062;Silent
Antigua and Barbuda;1995;female;15-24 years;589,429,593;9062;G.I. Generation
Antigua and Barbuda;1995;female;25-34 years;577,280,741;8636;Generation X
Antigua and Barbuda;1995;female;35-54 years;577,280,741;8636;Generation X
Antigua and Barbuda;1995;female;5-14 years;577,280,741;8636;Boomers
Antigua and Barbuda;1995;female;55-74 years;577,280,741;8636;Millenials
Antigua and Barbuda;1995;female;75+ years;577,280,741;8636;Silent
Antigua and Barbuda;1995;male;15-24 years;577,280,741;8636;G.I. Generation
Antigua and Barbuda;1995;male;25-34 years;577,280,741;8636;Generation X
Antigua and Barbuda;1995;male;35-54 years;577,280,741;8636;Generation X
Antigua and Barbuda;1995;male;5-14 years;577,280,741;8636;Boomers
Antigua and Barbuda;1995;male;55-74 years;577,280,741;8636;Millenials
Antigua and Barbuda;1995;male;75+ years;577,280,741;8636;Silent
Antigua and Barbuda;1998;female;15-24 years;577,280,741;8636;G.I. Generation
Antigua and Barbuda;1998;female;25-34 years;727,860,593;10078;Generation X
Antigua and Barbuda;1998;female;35-54 years;727,860,593;10078;Generation X
Antigua and Barbuda;1998;female;5-14 years;727,860,593;10078;Boomers
Antigua and Barbuda;1998;female;55-74 years;727,860,593;10078;Millenials
Antigua and Barbuda;1998;female;75+ years;727,860,593;10078;Silent
Antigua and Barbuda;1998;male;15-24 years;727,860,593;10078;G.I. Generation
Antigua and Barbuda;1998;male;25-34 years;727,860,593;10078;Generation X
Antigua and Barbuda;1998;male;35-54 years;727,860,593;10078;Generation X
Antigua and Barbuda;1998;male;5-14 years;727,860,593;10078;Boomers
Antigua and Barbuda;1998;male;55-74 years;727,860,593;10078;Millenials
Antigua and Barbuda;1998;male;75+ years;727,860,593;10078;Silent
Antigua and Barbuda;1999;female;15-24 years;727,860,593;10078;G.I. Generation
Antigua and Barbuda;1999;female;25-34 years;766,198,926;10378;Generation X
Antigua and Barbuda;1999;female;35-54 years;766,198,926;10378;Generation X
Antigua and Barbuda;1999;female;5-14 years;766,198,926;10378;Boomers
Antigua and Barbuda;1999;female;55-74 years;766,198,926;10378;Millenials
Antigua and Barbuda;1999;female;75+ years;766,198,926;10378;Silent
Antigua and Barbuda;1999;male;15-24 years;766,198,926;10378;G.I. Generation
Antigua and Barbuda;1999;male;25-34 years;766,198,926;10378;Generation X
Antigua and Barbuda;1999;male;35-54 years;766,198,926;10378;Generation X
Antigua and Barbuda;1999;male;5-14 years;766,198,926;10378;Boomers
Antigua and Barbuda;1999;male;55-74 years;766,198,926;10378;Millenials
Antigua and Barbuda;1999;male;75+ years;766,198,926;10378;Silent
Antigua and Barbuda;2000;male;55-74 years;766,198,926;10378;G.I. Generation
Antigua and Barbuda;2000;male;35-54 years;830,158,778;11021;Silent
Antigua and Barbuda;2000;female;15-24 years;830,158,778;11021;Boomers
Antigua and Barbuda;2000;female;25-34 years;830,158,778;11021;Generation X
Antigua and Barbuda;2000;female;35-54 years;830,158,778;11021;Generation X
Antigua and Barbuda;2000;female;5-14 years;830,158,778;11021;Boomers
